RegistryID,TitleOfWork,YearOfInstallation,Status,DescriptionOfwork,ArtistProjectStatement,SiteName,SiteAddress,Neighbourhood,Latitude,Longitude,LocationOnsite,Type,PrimaryMaterial,Ownership,URL,PhotoURL,PhotoCredits,Artists
245,Banners on Broadway 1,1997,Removed,"A banner project using children's drawings and other community source material. Each banner has 3 sections, one fore each of the three themes. These are identified by their background colour: orange for Health, yellow for Safety and pink for Community. Nine of the 44 banners announce our theme in a variety of languages: Chinese, English, Polish, Russian, Somali, Spanish, Tagalog, Ukrainian and Vietnamese.",,Broadway (Mount Pleasant),East Broadway from Guelph Street to Victoria Dr. (Mount Pleasant),,,,Light poles on side of street,Banners,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=245,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=245&ImageId=205,Lorenz von Fersen,220
247,Clinton Park Kiosk,1996,In place,The core-ten steel kiosk is designed with forms that suggest beech leaves resting on four blades of grass that rest in a leaf-shaped concrete footing. The steel surface has a natural rust coating that seals it from further corrosion. The kiosk serves as a community notice board in the park.,"The project was part of a community initiative to renovate the play area at Clinton Park, a joint project of the Clinton Neighbourhood Committee and the Vancouver Park Board. The specially designed community notice board kiosk was jointly funded by the Park Board and the Public Art Program.",Clinton Park,2690 Grant Street,Hastings-Sunrise,49.27046600,-123.05076300,Near park building,Site Work,Core-ten steel,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=247,,,197
248,December 6th Discussion,1997,Removed,"The project resulted in Transit shelter posters and 'mini' posters, distributed throughout the city of Vancouver during December1997 and January 1998. Two posters mounted on foamcore were on display for the month of December at the Vancovuer Public Library. One poster was on display in Duthie Books' window at the corner of Granville and Georgia. Thirty slides detailing the project, its participants, process, intent and outcome were shown at the Festival Cinemas, 5th and Burrard,  for the months of December 1997 and January 1998.","Using disposable cameras, a group of women lliving and working in the downtown eastside documented their community and interviewed residents. Over 500 photos were taken, and many stories were told, but the women selected two images to represent what they felt to be the purpose of the project and the ""message"" they most wanted people to know. The final outcome of the project was the creation of transit shelter posters which were displayed throughout the City of Vancouver for the month of December in comemmoration of December 6th, Canada's National Day of Remembrance and Action on Violence Against Women.",Downtown Eastside,Downtown Eastside,,,,,Site Work,,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=248,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=248&ImageId=207,"Ingrid Oleman, 1997",256
249,Glass Hand Project,1997,In place,A number of concrete tiles containing a hand print filled with cast glass were created from community workshops.  These tiles were then placed in concrete columns which form the two ends of a wooden bench.  The columns have peaked roofs and resemble houses connected by a bridge (the bench) in between.,,Maclean Park,Hawks Avenue & Georgia Street,Strathcona,49.27884300,-123.08845200,Paving,Site Work,"Concrete, glass, wood",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=249,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=249&ImageId=208,,198;199
250,Hands Across the Heights,1996,In place,"Working with community groups, the artist facilitated the production of mosaics to cover the cement refuse containers on Fraser, Victoria, Rupert and Kerr streets in the neighbourhood.",,multiple,"54th & Kerr; 43,47,&59th&Fraser; 41&49th&Victoria; Kingsway&Rupert",Sunset,,,,,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=250,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=250&ImageId=209,Lorenz von Fersen,200
251,Collected Memories - Community Markers,1997,In place,"6"" x 8"" engraved stainless steel plaques which mark historical events in the community are secured to lamp posts throughout S.E. Vancouver.  A Guide to the Community Markers was also produced. This is a compendium of personal stories, photos, and background information which was collected with the help of students from Killarny High School.",,Southeast Vancouver,Various,Victoria-Fraserview,,,,Site Work,Stainless steel,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=251,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=251&ImageId=210,Celine Rich,123
252,Mosaic Creek,1996,In place,"Mosaic Creek is a large mosaic in the shape of a creek made up of approximately 260 individual mosaics, each made by an individual or group of individuals. There are 3 separate sections of mosaic tile: the largest is approx. 80' long and varies in width and shape, the other two sections are approx. 10' long and 2 to 2.5' wide. The mosaics, set on a concrete base, are flush with the ground and flat across the surface, symbolically representing the surface of water. The park also includes a herb garden with a mosaic border designed by Glen Andersen and Marina Szijarto and wooden benches and a basalt pillar play area designed by Sarah White.","The idea for this project came from the initial public design process for the park itself. (A group called Britiannia Neighbours formed to organize a public design process and to fundraise for the park.) During the design process there were a number of ideas related ot water, none of which turned out to be feasible. Therefore, a symbolic representation was proposed - a mosaic creek. The intent was to involve as many community members as possible in making an art project which whould symbolize the notion of contributing one's individual expression and at the same time being part of a larger whole. There was no official theme or requirements except material specifications, I.e., frost-proof tile, type of glue, and spacing of tiles for grout allowance during installation. Approx. 500 people participated in the project (over 4,000 volunteer hours!).",McLean Park / Mosaic Creek Park,Charles Street & McLean Drive,Grandview-Woodland,49.27328800,-123.07414700,Mosiac path runs diagonally through park,Mosaic,"Frost-proof tile, pebbles, grout",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=252,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=252&ImageId=211,Barbara Cole,67;181;260
254,V6A ART,1995,In place,"V6A ART is a mural painted on a brick wall. Each brick was painted by a different participant in the project and reflects positive images of the Downtown Eastside, an economically depressed area of the Cty.","The Downtown Eastsite of Vancouver, the area denoted as V6A by the Canadian Postal Code system, is the lowest income per capita postal code in the country. The residents of the Downtown Eastside were given the opportunity to express their concerns, hopes, dreams and observations of their community and lives through the process of art-making. A series of workshops resulted in the production of individual works and a mural located at the Living Room Drop-In Centre.Throughout the summer of 1995, community members were given the opportunity to undertake art projects at their own pace and following their own vision. The Living Room mural, which is composed of over 300 individual pieces of art, provides a permanent public record of this process. An exhibition of works by downtown eastside residents was held at the exhibitions space The Atrium at 885 West Georgia.",Lookout Drop-in Centre,528 Powell Street,Strathcona,49.28295600,-123.09245800,Front of building,Mural,,Lookout Emergency Aid Society,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=254,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=254&ImageId=212,,179;180
255,Words in the Air,1996,Removed,6 glass panels sreenprinted with short poems by local poets,"Poets: Wayde Compton, Lisa Herrera, Melissa Keewatin, Leonard Goerge, Lisa Pasold, Jim Kelly",Renfrew Ravine Park (Renfrew-Collingwood),23rd & Renfrew Street (Renfrew-Collingwood),,,,Six pieces placed throughout park,Other,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=255,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=255&ImageId=213,,186;187
256,Woodland Circles,1997,In place,"Cement circles with stone and copper elements on the surface, installed flush with the ground.",,Queen Elizabeth Elementary School,4275 Crown Street,Dunbar-Southlands,49.24883400,-123.19397100,Scattered throughout the grounds,Site Work,Stone and copper,Vancouver School Board,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=256,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=256&ImageId=214,,182
257,Banners on Broadway,1998,Removed,Colourful banners are hung in pairs from the lamp standards along Broadway from Guelph Street to Victoria Drive. The banner designs are developed through image-making workshops with various community groups.  The artist establishes the basic design into which the drawings are incorporated.,"Banners on Broadway is an ongoing project. Project goals were: to get people active in the community, to build bridges between people, to acknowledge important people through portraitaure, to build pride, to beautify Broadway, to engage neighbourhoods in the theme of The people who we care for-the people who care for us.",Broadway (Mount Pleasant),Multiple (Mount Pleasant),,,,East from Guelph Street to Victoria Drive,Banners,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=257,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=257&ImageId=215,,280;297
258,Beautiful Banners on Victoria Dr.,1999,Removed,Banners are installed along Victoria Drive  to beautify and mark the neighbourhood.,"Sponsored by the South Vancouver Neighbourhood House and Victoria Drive Business Association, a banner project was developed in 1999 for south Victoria Drive to provide a stronger neighbourhood look and feel to this local commercial area. Artists Sima Elizabeth Shefrin and Yvonne Clements led workshops with a wide range of community groups, including students and seniors, to develop designs for individual banners. The banners feature recognizable images of home and family from various cultures. Using an applique technique, the banners are sewn in bold shapes and bright colours. They hang in pairs along both sides of Victoria between 39th and 49th Avenues, providing decorative highlights against the backdrop of local businesses and shops. - Park Board web site",Victoria Drive,Victoria Drive from  39th to 49th Avenue,Kensington-Cedar Cottage,49.23497200,-123.06540000,On poles in the commerical areas of Victoria Drive,Banners,Main street awning/industrial fabric,Other,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=258,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=258&ImageId=216,,281;295
259,Days of Sun,1999,In place,The project includes paintings and three sidewalk mosaics of inlaid metal and tile. The sidewalk mosaics are meant to indicate welcome mats for people in the community and visitors to the centre.,"Ann Marie Slater worked with 80 participants from the Multicultual Family Centre, the Kettle Friendship Centre, and MOSAIC to create the paintings and mosaics.",Reach Community Health Centre,1145 Commercial Drive,Grandview-Woodland,49.27444300,-123.06967900,Sidewalk,Mosaic,"Ceramic tiles, metal inlays",Reach Community Health Centre; Britannia Community,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=259,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=259&ImageId=217,,282
262,Games We've Played,1999,In place,"A ceramic tile mural of children's drawings is installed on the south wall of the Annex and matching tiles are placed out in the community on private houses, steps, retail storefronts, parks, etc.  Tile images are based on games children play, across generations and in their countries of origin.","Each Queen Victoria student created a design from which two tiles were made.... The scattered second set of tiles acts as a link between the community and the school, and as a game to find the match with the one at the school.",Queen Victoria School Annex,1850 East 3rd,Grandview-Woodland,49.26723800,-123.06692700,"Playground, 3rd Avenue & Victoria Drive",Mural,Ceramic tiles,Queen Victoria School,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=262,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=262&ImageId=218,,185
263,Mid-Main Mural Project,1998,In place,"The mural covers the entire front of the building on either side of the entrance facing south on 24th Ave.   Images are of children playing and people walking, representing the different cultural groups in the community.","The objective of the mural is to create better community awareness of the services of the clinic, beautify an institutional building and contribute to the neighbourhood health and beautification.",Mid-Main Community Health Centre,3998 Main Street,RileyPark,49.24943800,-123.10066600,Exterior on either side of the entrance,Mural,,Mid-Main Community Health Centre,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=263,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=263&ImageId=219,,45
265,Walls of Change,1998,Removed,The works consist of 28 canvas and plywood murals designed by artists and community groups and  intended to give expression to the many facets of theDowntown Eastside community.,Walls of Change was a six-month project designed to give the community an opportunity to express its uniqueness and concerns.,Hastings Street,Along Hastings Street between Cambie & Gore,DowntownEastside,,,Various locations,Mural,"Latex paint, spraypaint",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=265,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=265&ImageId=1111,,148;218
266,Trafalgar Tile Wall,1998,In place,"The wall consists of 588 tiles, 6""x6"" each, created by each of  students at Trafalgar Elementary School.  The imagery represents cultural backgrounds and values, as well as historical highlights of the school's history.",The goals of the project were to involve parents and students in working together to create a visual representation of the cultural diversity of the community and the role of the school over 50 years.,Trafalgar Elementary School,4170 Trafalgar,Arbutus Ridge,49.24953500,-123.16482200,West facing exterior wall,Mural,Clay and glaze,Vancouver School Board,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=266,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=266&ImageId=221,,167
267,Welcoming Walkway,2001,In place,The project includes mosaics on the front walkway and also banners.,,Moberly Arts Centre,7646 Prince Albert,Sunset,49.21536600,-123.08768300,,Mosaic,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=267,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=267&ImageId=1062,,69;260
268,Sculpture Poems,1996,In place,30-foot high faceted cedar poles with bronze Poem-Markers and six bollards sited beside ravine pathways,"Approximately 80 students created ""poems"" expressing their ideas about the ravine.  From these five were selected to be reproduced in clay and then bronze.  First year students from Emily Carr Institute of Art and Design assisted the Lord Beaconsfield Elementary School students with their clay modeling.  The Emily Carr students created animal and plant images interpreting the poems that were used as borders for the poems.  Later these were cast in bronze.  The bronze Poem Markers line the newly created pathway that runs along side the Renfrew Ravine.  Renfrew Ravine Totems created from drawings of flora and fauna from the ravine were crafted from computer-laser technology.  These forms were attached to 30-foot high faceted cedar poles and welcome visitors at both entrances to the Renfrew Ravine pathway.",Renfrew Community Centre,2929 East 22nd Avenue,Renfrew-Collingwood,49.25202200,-123.04415500,Three entrances to the Renfrew Ravine Greenway,Totem,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=268,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=268&ImageId=223,Sam Carter,47
269,Dry Stream,1997,In place,"A stone mosaic ""stream""runs beside the walkway.  It is animated with creatures inlaid and various colours of stone and ""flows"" from a small cave which could be the mouth of an animal.",The project was to build a pebble mosaic with volunteers from the neighbourhood.,John Street pedestrian throughway,John Street,RileyPark,49.24755500,-123.09703600,South side of walkway,Mosaic,Stone,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=269,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=269&ImageId=224,,181;260
270,Leaf Bench I & II,1997,In place,"Two steel leaf benches - one backless - take their inspiration from the veins of a leaf.  Fabricated with steel plate and flat bar, sandblasting and clear coated.",,Prince Albert Greenway,,Mount Pleasant,49.25780500,-123.08720600,15th and Prince Albert,Sculpture,Steel,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=270,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=270&ImageId=225,artist,131
271,Reclining Figure,1991,In place,"Driftwood pieces work together to form a figure, situated on a knoll in the park.",,Guelph Park,400 8th Avenue,Mount Pleasant,49.26381200,-123.09620300,S.W. lawn,Sculpture,Cedar,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=271,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=271&ImageId=226,,210
272,Five Pencils,1992,Removed,Five large wooden pencils,,Grandview Park (Grandview Woodland), Commercial Dr. & William Street (Grandview Woodland),,49.27350700,-123.07012400,,Sculpture,Wood,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=272,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=272&ImageId=227,Robert Klein,213
273,Three Herons,1998,In place,Bent aluminum 3-dimensional forms in the shape of herons which sit atop 12' poles along the bike path.,,Ridgeway Greenway,37th & Colluden/Knight,Kensington-Cedar Cottage,49.23685200,-123.07708500,Corners ,Sculpture,Aluminum,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=273,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=273&ImageId=228,Barbara Cole,166
274,Living Wall,1997,In place,A vertical garden in open wood planters which serve as pillars are interspersed with art mural panels.,"""The Living Wall Garden Project promotes innovated forms of urban agriculture and creates alternatives for the design of our growing city's future.  We strengthen the relationships between street-involved youth, seniors, families, businesses and service organizations through participation in hands-on projects."" Farmfolk/Cityfolk brochure",Vancouver Aquatic Centre,1050 Beach Avenue,West End,49.27655800,-123.13501900,"Aquatic Centre, up exterior eastern stairs to balcony area",Sculpture,,Farm Folk/City Folk,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=274,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=274&ImageId=229,Barbara Cole,68;184;229;299;302
275,McGill Park,1997,In place,"Unique benches, tables, and pebble mosaics are scattered along the path in this small corner park.",Ideas were generated through workshops and an on-site design event.,McGill Park,2305 McGill,Hastings-Sunrise,49.28861200,-123.05744100,,Mosaic,Stones/concrete,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=275,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=275&ImageId=230,Susan Gordon,181;261
276,Peopling the Playground,1997,In place,The colourful figures on the mural depict the children who use the playground.,"The school desired a mural with representations of community and school playground  activities. The inspiration was taken from depictions done by grade 2&3 students. There were 8 classes involved. These were enlarged, adapted into compositions and sketched on the wall, then painted.",L'Ecole Bilingue,1166 West 14th Avenue,Fairview,49.25797100,-123.13062600,South side wall,Mural,Bapco Professional Quality Paint,L'Ecole Bilingue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=276,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=276&ImageId=231,,183
277,Converging Lines,1998,In place,"""Clothes line"" sculpture installations at each street closure","""Electrical poles are a common sight in everyday life, vital to our communication and support systems.  Choosing this element to be the consistent visual object preserves the visual rhythm of the neighbourhood....The circles create a meandering horizontal line between viewer and poles.... """,Ridgeway Greenway,37th at Ross & at Colluden,Kensington-Cedar Cottage,49.23647700,-123.08224300,,Site Work,Steel,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=277,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=277&ImageId=232,,182
278,Uncoverings,1998,In place,"Round glass and steel covers are inset into the sidewalk over the vapour outlets of an underground heating system.  They are lit from underneath at night and steam may be seen to escape around them. The words ""collected/dispersed"" and one other site-specific word is embossed on the glass at each site. The words refer to the systems of exchange in the underground heating plant as well as the communities of exchange within the city itself.","Uncoverings is ""a series of four textured glass and stainless steel sidewalk installations.  Each reveals to the passerby the nature of hidden systems of the City.  The piece includes evocative text and a subsurface structure that allows for the collection of fresh air and rainwater, the release of water vapour from vent pipes under the ground, and a connection into the City's streetlighting infrastructure.  Each work operates on an individual, site-specific level as well as being part of collective, interconnected network.""  (the artists)",Multiple,"Four different sites:  Beatty & Robson, Burrard & Dunsmuir, Burrard & Georgia, Burrard & Smithe",Downtown,,,All four projects are flush with sidewalk near curbs and incorporate Central Heat vapour outlets,Site Work,Glass,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=278,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=278&ImageId=233,Barbara Cole,83;151
279,Automata - Moving Pictures,1998,Removed,"Thirteen street light poles w/3 rotating banners each will line the streets around the intersection.  Four poles affixed to the retaining wall at the school corner celebrate the ""children's kingdom. "" Images of foot steps to guide children along safe paths and words of caution in several languages are sand-blasted into the sidewalk.","Automata is based on the non-literary tool of flipping pages to make a moving picture.  A non-textual approach can be ""read"" by many different cultures and from a moving vehicle....This visual, tactile, and playful solution is accessible to all and can address the safety issues as well as community identity.",Queen Alexandra School (Kensington-Cedar Cottage),Clark & Broadway  (Kensington-Cedar Cottage),,,,Southeast corner and converging streets,Site Work,vinyl,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=279,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=279&ImageId=234,artists,202;259
280,"Vancouver Overture, Opus One",1998,In place,Black concrete pavers are laid out in a grid.  Large granite blocks are placed throughout.  Lights and random fountain jets offset the granite blocks.,"""From the street edge, the random qualities of changing motion are most apparent with the ever changing pattern of the jets...From the apartments above, the layout of the grid strongly suggests the layout of a city....A sense of motion is given to the work with the serpentine pattern of the granite blocks. """,Bayshore,Georgia Street & Cardero,Downtown,49.29094600,-123.13037800,,Fountain,"Granite, concrete",private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=280,,,203
281,GRANtable,1998,In place,"A giant, 66' long concrete table with two chairs at the ends and two side benches, the piece sits on the grass at the bottom of a stairway. It is surrounded by a formal plantings. Table top is textured with playing board squares.","""Taking its cue from the grand rooms of neoclassical architecture, GRANtable completes the axis of the existing grand stair by terminating the procession in a grand outdoor dining room.  The project can be viewed as urban infrastructure when occupied, or as a sculpture when empty."" - project statement by the artists",Mae and Lorne Brown Park (or SEGS Park),Beach Avenue between Hornby & Howe Street,Downtown,49.27521200,-123.13205900,Centre of the park at base of stairs,Sculpture,"Concrete, granite, steel, bronze",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=281,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=281&ImageId=235,Barbara Cole,114;197
282,Traffic Circles,1997,In place,Large boulders are installed as traffic circles in three intersections.  Reflectors are distributed on a 6'x6' grid throughout the intersection.,Rocks are objects and obstructions.  They are 'super nature' and their scale and siting are what raises them beyond being just rocks....  The context around them may be what appears strange.,Traffic Circles ,"Garden Dr. at Oxford, Cambridge and Eton Sts.",Grandview-Woodland,49.28661800,-123.05770800,,Site Work,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=282,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=282&ImageId=236,Barbara Cole,204
284,Sisaxo'las Pole,1986,In place,"""...carved by the Kwakwaka'wakw artist Charlie James - commissioned by Chief Sisaxo'las of Kingcome Inlet and Alert Bay to tell the story of his mythological and noble ancestor, Siwid.  Acquired from its original owner in 1922, it was given to the Art, Historic and Scientific Association (now the Vancouver Museum Association) for the people of Vancouver.  As part of the City's permanent collections, it was on view in Stanley Park from 1922 to 1986, when it was brought indoors by the Museum to prevent further decay. Preservation work was undertaken with support from the Bank of British Columbia, now a division of the Hong Kong Bank of Canada, through the Vancouver Legacies Program. The pole is currently placed in the lobby of the Vancouver Trade and Convention Centre by the Vancouver Museum.""  (From information page supplied by Trade and Convention Centre)",,Trade and Convention Centre,999 Canada Place Way,Downtown,49.28797400,-123.11339500,Lobby of Trade and Convention Centre,Totem,Cedar,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=284,,,81
285,Untitled,1988,In place,"This pair of totems carved by Gitksan artists was originally commissioned by Highfield Development and erected at the entrance to Airport Executive Park in Richmond (1970).  Donated to the Vancouver Museum in 1988 by Sun Life of Canada, they were placed in the lobby of the Vancouver Trade and Convention Centre by the Museum under special agreement. (From information supplied by Trade and Convention Centre)",,Trade and Convention Centre,999 Canada Place Way,Downtown,49.28802700,-123.11325100,Lobby of Trade and Convention Centre,Totem,Cedar,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=285,,,195
286,Reflections of Vancouver,,In place,Quilt made from World War II silk parachutes,,Trade and Convention Centre, 999 Canada Place Way,Downtown,49.28803200,-123.11345600,lobby of Trade and Convention Centre,Tapestry,,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=286,,,195
287,Untitled (wall hanging),1986,In place,"A series of four quilts that represent different industries of British Columbia.  One quilt represents the past, another the present and two quilts are of the future.",,Trade and Convention Centre, 999 Canada Place Way,Downtown,49.28792700,-123.11348500,Delegate concourse,Tapestry,,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=287,,,225
288,Salute to the Lions of Vancouver,1991,In place,"Two matching steel-cut lions jump through lighted hoops held between two vertical beams. The piece is situated on the west side of the deck around Canada Place and looks out at The Lions, the mountains across the bay.  ""This piece, which includes a bronze plaque commemorating Pauline Johnson, was commissioned from Falk by the architects after a cross-Canada competition failed to turn up anything they liked. The artist's original scheme, comprising eight dogs leaping through rings of fire (""I wanted it to be a real salute"") was modified considerably.""   (Elizabeth Godley, 671, The Greater Vancouver Book)",,Canada Place,999 Canada Place Way,Downtown,49.28886100,-123.10958800,Level 21K of Canada Place,Sculpture,Stainless steel,Privately Owned,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=288,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=288&ImageId=237,Barbara Cole,226
289,Untitled (Dr. Stanley Ho Building),1996,Removed,"The architect designed the block for two owners, but to date, only one has chosen to build. Until the missing part of the equation is filled, a romanticized version of the lost view to the lagoon fills the wall.",,Dr. Stanley Ho Building,606 Chilco Street,West End,49.29412700,-123.13685900,East side of building facing empty lot,Mural,,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=289,,,228
290,Seal's Ball,1996,In place,"At Second Beach Pool, a concrete seal once balanced a ball on the tip of its nose. An animal rights group took offense and asked the Park Board to remove the piece. The poised seal remains, but the ball's new home is on a pole on the roof of the concession stand at the foot of Denman Street.",,, S foot of Denman Street,West End,49.28666100,-123.14269900,Concession stand at English Bay,Sculpture,,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=290,,,195
291,Untitled (plaques),,Removed,plaque,,English Bay Bathhouse (West End),shoreline walk at Denman and Davie (West End),,,,water side of English Bay Bathhouse near lifeguard entrance,,,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=291,,,173
292,Rick Hansen - Man in Motion,1997,Removed,"A commemorative sculpture commissioned to celebrate the 10th anniversary of Rick Hansen's ""Man in Motion"" world tour, this sculpture is 6.5 feet high. The sculpture by Koochin sits in front of a screen printed tile collage created by Blake Williams. The collage uses excerpts from maps, diaries, and media coverage to chronicle Hansen's wheelchair journey across Canada.","""This  project was timed to commemorate the 10th anniversary of Rick Hansen’s “Man in Motion” world tour.  The work was intended to honour his achievements and to act as a symbol of  the stuggles and hardships that disabled and able bodied people can overcome through perseverence and faith in oneself.""",General Motors Place,800 Griffiths Way,Downtown,49.27849400,-123.10804000,,Memorial,"Granite, ceramic tile",Privately Owned,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=292,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=292&ImageId=238,Barbara Cole,185;257
293,Thunderbird Mural,1997,In place,,,Thunderbird Community Centre, 2511 Cassiar Street,,49.26338700,-123.03186200,,Mural,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=293,,,
